,COUNTY,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
3,Maricopa ,176709.0,177834.0,178726.0,179562.0,180590.0,181744.0,182219.0,183223.0,184258.0,185940.0,187501.0,188689.0,189454.0,190444.0,191420.0,192477.0,193388.0,194776.0,196460.0,197553.0,198843.0,200106.0,201580.0,202837.0,204280,206159,207992,209869,211654,213252,214653,215961,217455,218607,219668,220755,221976,223136,224498,225566,226767,227894,229193,230803,232166,233727,235317,237133,238852,240398
40,Pima ,142504.0,143363.0,143885.0,144362.0,144952.0,145010.0,145914.0,146767.0,147627.0,148083.0,148762.0,149600.0,150427.0,151227.0,152145.0,152656.0,153229.0,154136.0,155060.0,156273.0,157322.0,158383.0,159312.0,160451.0,161428,162413,163769,165398,166955,168146,169267,170244,171545,172917,174017,174010,174906,175999,177289,177994,178823,179957,181020,182099,183035,184018,185290,187337,188786,190122
174,Pinal ,191435.0,193278.0,194348.0,195617.0,195928.0,196839.0,197172.0,198102.0,199144.0,200310.0,201434.0,202083.0,202372.0,202350.0,202981.0,204546.0,206310.0,207432.0,209050.0,209697.0,210263.0,211034.0,211935.0,213140.0,214170,215883,218364,219079,219908,220910,222013,223447,225481,227362,229762,231304,233949,235039,235305,236081,237455,238892,240098,241430,242340,243252,243715,244823,245232,246558
292,Yavapai ,189898.0,190554.0,191193.0,191340.0,192109.0,193841.0,195545.0,197724.0,198979.0,200444.0,201398.0,202819.0,203824.0,205807.0,207817.0,210414.0,212244.0,213284.0,214552.0,215938.0,217910.0,219333.0,221589.0,222814.0,225166,226743,228531,229076,230071,231396,233175,234676,236376,238718,240742,242993,242982,242952,242808,243976,245101,246172,246834,247625,248208,248614,248995,249703,251702,253998
311,Mohave ,120689.0,120962.0,121349.0,121238.0,121402.0,121713.0,122245.0,122767.0,123329.0,124218.0,125083.0,125749.0,125955.0,126822.0,127754.0,128692.0,129706.0,130686.0,131589.0,132105.0,132868.0,134062.0,135309.0,136521.0,137614,138436,139216,140507,141621,142752,143600,145178,146835,148262,149878,151388,152677,153493,154366,155232,156325,157454,158890,160035,161072,162100,163041,164225,165840,167958
318,Yuma ,100685.0,100191.0,100511.0,101501.0,102157.0,102458.0,102199.0,101769.0,101843.0,102208.0,102702.0,103600.0,104889.0,106277.0,106932.0,106941.0,107052.0,107356.0,107815.0,108123.0,108843.0,109764.0,110696.0,111343.0,111657,112125,112763,113374,113982,114698,115882,117029,117697,118192,118210,117740,116740,116994,117830,119197,119809,120356,120617,121058,121587,122116,123003,124403,126349,127226
458,Coconino ,211195.0,210768.0,211446.0,213269.0,214829.0,215089.0,216066.0,217629.0,219780.0,221553.0,223134.0,224653.0,227023.0,228392.0,230291.0,230608.0,231907.0,232986.0,234181.0,235302.0,235941.0,237229.0,238266.0,239428.0,240923,243445,245452,247570,248363,249460,250157,251274,252751,253536,254162,254615,255308,255760,256243,256712,257844,259008,260193,260883,261324,261952,262775,263659,264027,264244
471,Cochise ,96249.0,96393.0,96427.0,96460.0,96795.0,97034.0,97385.0,97685.0,98213.0,98723.0,99107.0,99406.0,99661.0,100171.0,100760.0,101450.0,101870.0,102137.0,102283.0,102465.0,102566.0,102811.0,103424.0,103775.0,104161,104211,104463,104614,104521,104514,104257,104154,104537,105325,105873,106639,107513,108863,110001,111080,112485,113926,115590,117149,118368,119252,120226,121168,122050,122693
548,Navajo ,140928.0,141641.0,142422.0,142793.0,143184.0,143620.0,144232.0,145038.0,145566.0,146038.0,146382.0,146722.0,147246.0,147726.0,148319.0,149315.0,150280.0,150960.0,151641.0,151923.0,152884.0,153852.0,155357.0,156397.0,157171,157775,158804,159816,160938,161987,162822,163985,164857,165926,166923,168435,170011,171601,172611,173492,174478,175665,176972,178169,179301,180269,181015,181558,182115,182739
742,Apache ,112643.0,113594.0,114093.0,114398.0,115160.0,116017.0,117263.0,118218.0,119760.0,121026.0,121996.0,122338.0,121486.0,121388.0,121580.0,122468.0,122374.0,121884.0,121682.0,122068.0,123407.0,123041.0,123672.0,124341.0,126414,127712,128227,128703,128833,129593,130225,131379,131132,131754,131992,132721,132978,132572,132534,132331,132991,133289,133402,132856,132775,132898,132852,132514,132067,132334
