,DATE,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma
0,1993-01-01,18860,26346,29341,23204,23221,34590,20354,33916,24232,22762,28704,23521,21827,24110,23001
1,1994-01-01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,1995-01-01,20173,26958,32640,27374,25848,40620,20878,37583,29208,25499,30832,26082,24933,29205,27119
3,1996-01-01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,1997-01-01,20260,29295,33747,27960,27564,43696,23534,40134,28250,25913,32544,28003,26515,30230,27227
5,1998-01-01,21283,31443,34939,29299,29107,44351,25107,42192,29326,26304,34049,29726,27934,32273,28207
6,1999-01-01,23366,31411,35975,29929,28937,40734,24954,44054,29863,27614,34835,33289,29043,33208,29332
7,2000-01-01,24244,32903,38249,31295,29860,41181,25986,47024,31515,28868,37461,35134,31123,34241,31297
8,2001-01-01,23509,32209,37607,30198,28575,40245,24851,45921,30425,27762,36938,34437,30379,33398,30740
9,2002-01-01,24232,33300,37923,30560,28683,40471,25187,46038,31030,28312,36936,35132,30795,34114,32252
10,2003-01-01,25558,34801,39034,31780,30040,41032,25807,46376,32505,30078,37540,37869,32070,35303,32645
11,2004-01-01,26592,36585,40040,33412,31387,43095,26722,48304,34126,31554,38687,40255,32901,37309,34230
12,2005-01-01,26308,36296,41446,33862,33558,43338,29015,48752,35320,31532,41484,41177,33491,40382,35739
13,2006-01-01,27600,38825,43683,35716,34618,46728,29534,52522,36320,35824,43002,43627,34620,40923,37154
14,2007-01-01,29976,42995,48549,34761,38798,50195,29912,54733,39669,38871,43721,49906,35661,44268,39781
15,2008-01-01,31728,44000,47933,38405,40902,53654,32973,56511,38641,39416,46653,50208,38490,42311,39063
16,2009-01-01,28956,43786,49777,36764,40609,56855,30939,53284,39863,34855,43243,49088,35545,40837,38251
17,2010-01-01,30651,43677,43051,37430,39299,49592,33818,50424,36446,37723,44293,49833,33952,40562,40609
18,2011-01-01,30837,41237,45051,35898,40548,51145,30679,50785,35998,32425,44102,45170,35500,41437,37894
19,2012-01-01,32886,43017,45509,38267,41080,53312,35236,51442,34966,34662,44745,50362,36660,43397,39072
20,2013-01-01,30252,45294,48732,39868,43497,54673,33994,52066,38560,37182,43926,49887,35753,40486,40498
21,2014-01-01,32366,45025,48653,37677,46046,59416,32533,53929,37704,35457,45871,49876,37465,44145,39700
22,2015-01-01,31072,43451,51955,41346,44169,58854,34835,56017,40360,37658,47107,50888,34893,47220,40426
23,2016-01-01,34040,45151,53643,40747,46714,61110,34285,58742,42003,37440,47644,52642,39090,49824,42998
24,2017-01-01,33053,48966,54399,38897,46378,63557,36389,62221,42210,40883,51392,53114,39265,49860,46013
25,2018-01-01,33652,49164,60187,43585,50157,65818,37350,65234,45129,40650,53395,58848,40545,48758,44116
