,Area,Occupational Title,Mean Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage,Rounded Employment
0,Apache ,Total all occupations,22.78,10.72,12.01,17.48,26.59,39.26," 17,850 "
1,Apache ,Management Occupations,44.72,19.94,29.57,38.08,49.18,72.78," 1,040 "
2,Apache ,Chief Executives,89.92,46.05,77.40,91.05,*,*, * 
3,Apache ,General and Operations Managers,38.95,16.71,22.37,35.22,46.61,61.87, 290 
4,Apache ,Legislators,*,*,*,*,*,*, 40 
5,Apache ,Administrative Services Managers,40.01,20.66,31.26,37.97,49.98,62.35, 50 
6,Apache ,Financial Managers,45.72,32.16,35.20,42.23,57.06,62.94, 40 
7,Apache ,"Education Administrators, Elementary and Secondary School",*,*,*,*,*,*, 70 
8,Apache ,Medical and Health Services Managers,56.82,25.92,31.25,39.98,54.54,*, 200 
9,Apache ,"Managers, All Other",46.93,29.82,37.10,46.56,58.08,64.44, 50 
10,Apache ,Business and Financial Operations Occupations,31.41,17.69,23.73,30.81,38.28,46.93, 510 
11,Apache ,Human Resources Specialists,33.09,21.77,26.80,33.00,38.26,48.93, 70 
12,Apache ,Management Analysts,39.92,27.56,31.63,40.60,46.20,51.74, 30 
13,Apache ,"Business Operations Specialists, All Other",29.39,14.07,21.30,30.50,37.62,43.50, 80 
14,Apache ,Accountants and Auditors,27.38,18.05,21.46,25.52,32.96,41.27, 90 
15,Apache ,Computer and Mathematical Occupations,31.52,16.05,20.00,28.70,38.14,52.67, 240 
16,Apache ,Network and Computer Systems Administrators,38.11,19.72,22.95,29.31,49.35,82.89, 30 
17,Apache ,Computer User Support Specialists,20.50,13.58,15.71,18.08,22.23,28.80, 70 
18,Apache ,"Life, Physical, and Social Science Occupations",25.33,12.79,16.05,22.84,33.35,42.71, 280 
19,Apache ,Community and Social Services Occupations,23.47,12.10,16.37,20.31,25.24,35.32, 570 
20,Apache ,"Educational, Guidance, School, and Vocational Counselors",23.09,11.69,17.33,22.67,28.64,34.54, 130 
21,Apache ,"Child, Family, and School Social Workers",19.08,15.65,16.83,18.79,21.76,23.90, * 
22,Apache ,Health Educators,23.80,13.99,18.78,24.60,28.54,30.77, 50 
23,Apache ,Social and Human Service Assistants,*,*,*,*,*,*, 80 
24,Apache ,Legal Occupations,38.20,11.60,15.80,35.37,53.43,77.84, 50 
25,Apache ,"Education, Training, and Library Occupations",20.96,11.12,14.12,20.23,25.73,33.04," 1,770 "
26,Apache ,"Kindergarten Teachers, Except Special Education",*,*,*,*,*,*, * 
27,Apache ,"Elementary School Teachers, Except Special Education",*,*,*,*,*,*, 330 
28,Apache ,"Middle School Teachers, Except Special and Career/Technical Educa",*,*,*,*,*,*, 60 
29,Apache ,"Secondary School Teachers, Except Special and Career/Technical Ed",*,*,*,*,*,*, 320 
30,Apache ,"Teachers and Instructors, All Other, Except Substitute Teachers",*,*,*,*,*,*, 100 
31,Apache ,Substitute Teachers,21.73,10.71,12.00,19.10,31.95,35.88, 80 
32,Apache ,Librarians,18.82,11.20,12.57,19.02,23.86,28.71, 40 
33,Apache ,Instructional Coordinators,32.81,17.98,25.83,31.53,42.75,48.93, 30 
34,Apache ,Teacher Assistants,*,*,*,*,*,*, 430 
35,Apache ,"Arts, Design, Entertainment, Sports, and Media Occupations",20.14,12.09,14.32,17.88,24.90,29.99, 130 
36,Apache ,Healthcare Practitioners and Technical Occupations,33.80,16.74,22.23,29.58,37.72,49.44," 1,920 "
37,Apache ,Pharmacists,51.90,41.08,44.22,48.95,57.12,71.85, 60 
38,Apache ,"Physicians and Surgeons, All Other",118.71,77.52,*,*,*,*, 50 
39,Apache ,Respiratory Therapists,29.15,24.52,25.86,28.75,32.51,36.54, 50 
40,Apache ,Registered Nurses,33.62,24.99,28.72,33.67,38.16,43.88, 740 
41,Apache ,Clinical Laboratory Technologists and Technicians,25.41,15.97,19.58,24.94,31.46,36.33, 60 
42,Apache ,Radiologic Technologists and Technicians,29.10,23.56,25.86,28.32,32.02,36.62, 60 
43,Apache ,Pharmacy Technicians,19.44,12.36,15.68,19.69,22.36,24.23, 80 
44,Apache ,Licensed Practical and Licensed Vocational Nurses,22.07,19.78,20.71,22.26,23.80,24.67, * 
45,Apache ,Medical Records and Health Information Technicians,21.21,15.65,17.69,20.88,24.53,27.90, 200 
46,Apache ,"Health Technologists and Technicians, All Other",16.77,11.95,12.79,14.53,17.66,31.63, * 
47,Apache ,Healthcare Support Occupations,15.58,11.13,12.09,14.09,18.23,22.22, 980 
48,Apache ,Home Health Aides,12.76,11.01,11.76,12.65,13.94,14.75, 410 
