,DATE,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma
0,1970-01-01,32.304,61.918,48.326,29.255,16.578,10.33,8.07,971.2280000000001,25.857,47.559,351.667,68.579,13.966,37.005,52.757
1,1971-01-01,35.5,67.1,53.3,31.0,17.5,11.2,8.8,1026.4,28.7,51.2,380.3,73.8,14.8,40.4,56.1
2,1972-01-01,37.0,70.9,58.2,31.2,17.6,11.2,9.1,1087.2,31.1,52.4,407.5,76.8,15.7,44.9,58.0
3,1973-01-01,39.5,74.6,61.7,32.3,18.7,11.6,9.3,1156.7,34.0,53.6,428.6,80.9,16.5,48.0,59.4
4,1974-01-01,40.3,76.2,64.8,33.0,20.0,12.4,9.7,1217.4,36.6,56.5,443.7,84.5,17.4,50.2,61.7
5,1975-01-01,42.9,76.9,69.8,32.5,19.7,12.2,9.4,1253.9,39.4,58.8,459.7,83.8,17.1,50.2,60.0
6,1976-01-01,44.3,78.9,66.4,33.9,20.9,11.9,10.4,1280.0,42.5,61.0,471.6,86.4,17.9,55.7,66.1
7,1977-01-01,48.5,80.7,68.9,34.3,21.0,11.9,10.8,1329.8,43.3,60.8,483.5,87.1,18.3,59.7,68.7
8,1978-01-01,50.7,83.2,70.8,35.6,20.7,12.1,10.9,1388.9,46.0,63.0,497.7,87.6,18.6,62.4,69.7
9,1979-01-01,52.1,86.3,73.4,36.5,21.3,12.2,11.3,1456.8,51.8,66.4,523.3,89.5,19.7,65.8,72.2
10,1980-01-01,52.108000000000004,85.686,75.008,37.08,22.862,11.405999999999999,12.557,1509.175,55.865,67.62899999999999,531.443,90.91799999999999,20.459,68.145,76.205
11,1981-01-01,51.20399999999999,88.036,77.794,38.018,23.133000000000003,11.478,12.513,1566.036,58.607,66.833,552.627,92.95200000000001,20.673000000000002,70.883,79.321
12,1982-01-01,52.152,88.37299999999999,79.156,38.924,23.83,11.747,12.692,1611.8470000000002,62.538999999999994,66.91,568.004,96.802,21.689,74.009,81.186
13,1983-01-01,53.082,88.87200000000001,81.118,38.655,23.943,10.694,13.034,1663.973,64.005,68.893,582.172,97.846,21.840999999999998,76.76899999999999,84.027
14,1984-01-01,52.996,90.93700000000001,83.64,37.592,24.535999999999998,10.204,13.831,1736.9520000000002,67.36399999999999,68.693,592.087,100.505,22.791,79.633,85.37299999999999
15,1985-01-01,53.465,91.19200000000001,84.431,37.319,24.574,9.052,13.65,1828.7479999999998,70.76899999999999,70.714,602.6469999999999,103.23,23.534000000000002,82.64200000000001,87.572
16,1986-01-01,55.748999999999995,94.09299999999999,87.575,38.175,24.415,8.407,13.405,1905.504,75.366,72.6,621.586,107.816,24.04,89.025,90.505
17,1987-01-01,58.196999999999996,96.69,90.38,38.626999999999995,25.204,8.273,13.513,1991.4,77.314,73.793,640.419,111.171,25.627,93.811,92.684
18,1988-01-01,59.542,96.316,93.355,39.104,25.612,8.105,13.362,2048.4410000000003,82.381,74.609,656.727,114.206,26.866,99.493,97.064
19,1989-01-01,60.827,97.551,95.194,39.592,26.213,7.8389999999999995,13.807,2101.7870000000003,87.04,76.579,664.2,115.743,28.781,103.65100000000001,103.38
20,1990-01-01,61.93899999999999,97.91799999999999,97.10600000000001,40.423,26.611,8.029,13.964,2132.249,95.491,77.921,668.8439999999999,116.867,29.854,108.818,108.06299999999999
21,1991-01-01,62.63399999999999,99.05799999999999,99.647,41.327,27.339000000000002,8.265,14.314,2198.219,102.26299999999999,78.706,679.813,120.98700000000001,30.918000000000003,113.119,111.96700000000001
22,1992-01-01,63.026,101.45299999999999,102.49799999999999,42.614,27.971999999999998,8.571,14.668,2272.5820000000003,108.64399999999999,80.35,698.091,126.178,32.006,118.427,118.66
23,1993-01-01,64.48899999999999,104.40299999999999,105.57,44.02,28.965999999999998,8.747,15.18,2359.883,115.706,83.64200000000001,719.5980000000001,131.935,33.245,125.164,124.89200000000001
24,1994-01-01,66.085,109.323,108.68,45.407,29.656999999999996,8.802999999999999,15.894,2475.159,122.906,85.42200000000001,745.112,138.343,34.336999999999996,131.986,127.975
25,1995-01-01,68.274,112.48,110.954,47.074,30.587,8.92,16.562,2598.183,130.274,88.432,768.212,145.863,35.007,139.901,131.776
26,1996-01-01,69.508,112.88,112.686,48.437,31.503,9.033999999999999,17.547,2703.078,136.436,90.646,783.685,152.63299999999998,35.205,146.414,137.248
27,1997-01-01,70.47800000000001,114.90700000000001,114.444,49.638999999999996,32.203,9.081,18.277,2805.009,140.922,92.91,798.5210000000001,158.705,36.074,151.924,143.89600000000002
