,DATE,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma
0,1990-01-01,13.2,7.0,9.4,9.3,8.8,9.8,7.2,4.7,5.6,11.4,5.2,7.3,9.8,5.5,13.9
1,1990-02-01,13.5,6.9,8.7,8.8,8.4,8.6,6.8,4.4,5.1,12.2,4.7,6.8,9.3,5.3,15.5
2,1990-03-01,13.0,6.7,7.8,8.7,7.8,7.4,6.7,4.2,5.4,11.7,4.4,6.5,8.6,4.7,14.8
3,1990-04-01,11.7,6.3,6.4,8.0,6.6,6.2,5.9,4.2,5.0,10.2,4.4,6.1,9.2,4.3,19.8
4,1990-05-01,10.5,6.0,6.4,6.7,6.5,5.3,5.4,4.1,3.9,8.3,4.3,6.4,10.4,4.0,24.0
5,1990-06-01,16.6,6.4,8.8,7.2,7.3,6.3,7.2,4.4,4.3,11.7,4.9,6.5,15.0,4.2,23.0
6,1990-07-01,17.0,6.4,8.2,7.1,7.0,5.4,7.3,4.4,4.5,12.9,4.7,6.6,17.4,4.5,27.6
7,1990-08-01,16.1,6.0,7.9,7.1,6.8,6.0,8.0,4.6,4.6,11.8,4.8,6.4,19.2,4.4,29.4
8,1990-09-01,13.0,6.0,6.7,6.4,7.5,6.3,7.4,4.5,4.6,10.4,4.7,6.2,19.3,4.6,24.9
9,1990-10-01,11.3,6.5,6.3,6.3,6.1,6.5,6.5,4.2,4.9,9.4,4.4,5.3,17.6,4.2,20.2
10,1990-11-01,11.3,6.5,6.5,6.6,5.8,6.2,6.6,3.9,5.4,9.8,4.3,5.2,14.3,4.2,17.4
11,1990-12-01,10.7,6.8,7.2,6.6,5.8,5.3,6.5,4.0,5.1,10.2,4.0,5.5,12.2,4.6,14.8
12,1991-01-01,14.1,7.7,8.3,7.6,7.3,7.4,7.4,4.5,7.3,12.8,4.1,6.8,11.4,5.5,14.4
13,1991-02-01,12.8,7.8,7.3,7.0,6.7,5.8,7.6,4.3,6.7,12.0,3.8,6.5,10.2,5.0,14.0
14,1991-03-01,12.1,7.3,6.7,7.0,6.6,6.0,7.5,4.3,5.7,11.2,3.8,6.4,9.6,5.1,14.6
15,1991-04-01,10.6,6.5,5.7,6.5,5.7,4.8,6.1,4.1,4.6,10.1,3.5,5.8,8.6,4.3,16.2
16,1991-05-01,10.6,7.0,6.5,6.3,6.2,5.0,7.0,4.5,5.9,9.5,3.7,6.2,9.4,4.2,24.5
17,1991-06-01,15.3,7.6,8.2,7.4,7.2,7.2,8.2,5.3,6.4,13.2,4.3,7.0,13.3,4.9,25.1
