,designatedArea,incidentType
776,Pima ,Flood
790,Maricopa ,Flood
797,Graham ,Flood
809,Pinal ,Flood
831,Greenlee ,Flood
1780,Maricopa ,Flood
1791,Coconino ,Flood
1796,Navajo ,Flood
1939,Gila ,Flood
1951,Apache ,Flood
1952,Cochise ,Flood
2427,Maricopa ,Flood
2485,Pinal ,Flood
2506,Pima ,Flood
2635,Graham ,Flood
2675,Greenlee ,Flood
4852,Pinal ,Flood
4930,Pima ,Flood
4957,Coconino ,Flood
4971,Graham ,Flood
4977,Yavapai ,Flood
4988,Apache ,Flood
4993,Gila ,Flood
4998,Santa Cruz ,Flood
5030,Pima ,Flood
5064,Greenlee ,Flood
5078,Mohave ,Flood
5147,Greenlee ,Flood
5227,Navajo ,Flood
5297,Gila ,Flood
5320,Maricopa ,Flood
5357,Gila ,Flood
5371,Maricopa ,Flood
5390,Graham ,Flood
5398,Greenlee ,Flood
5511,Navajo ,Flood
5513,Maricopa ,Flood
5695,Pima ,Flood
5701,Mohave ,Flood
5823,Yavapai ,Flood
5956,Mohave ,Flood
5991,Santa Cruz ,Flood
6036,Navajo ,Flood
6043,Mohave ,Severe Storm(s)
6067,Navajo ,Flood
6172,Mohave ,Flood
6394,Pinal ,Flood
6399,Gila ,Flood
6484,Yuma ,Flood
6501,Yavapai ,Flood
6583,La Paz ,Flood
6652,Cochise ,Flood
6855,Pima ,Flood
6885,Graham ,Flood
6899,Yuma ,Severe Storm(s)
7412,Maricopa ,Flood
7421,Gila Bend Indian Reservation,Flood
7550,Apache ,Flood
7638,Graham ,Flood
7891,Pinal ,Flood
7977,Coconino ,Flood
8088,Yavapai ,Flood
8372,Gila ,Flood
8477,Apache ,Flood
8503,Gila ,Flood
8523,Graham ,Flood
9030,Maricopa ,Flood
9119,Coconino ,Flood
9229,Pima ,Flood
9472,Greenlee ,Flood
9484,Yavapai ,Flood
9690,Santa Cruz ,Flood
9861,Pinal ,Flood
9953,Navajo ,Flood
10116,Cochise ,Flood
10136,Yuma ,Flood
10467,Pima ,Flood
13694,Maricopa ,Severe Storm(s)
15266,Statewide,Severe Storm(s)
15649,Maricopa ,Severe Storm(s)
15700,La Paz ,Severe Storm(s)
16232,Cochise ,Severe Storm(s)
16532,Yavapai ,Severe Storm(s)
16607,Cochise ,Severe Storm(s)
16761,Gila River Indian Reservation,Severe Storm(s)
17021,Gila ,Fire
17072,Apache ,Fire
